timestamp,event_id,target_user,ip,logon_type,status,sub_status
2025-10-18 15:23:19.879591+00:00,4624,DWM-3,-,2,,
2025-10-18 15:23:19.879606+00:00,4624,DWM-3,-,2,,
2025-10-18 15:23:20.092642+00:00,4624,SYSTEM,-,5,,
2025-10-18 15:23:20.791534+00:00,4624,SYSTEM,-,5,,
2025-10-18 15:23:23.862160+00:00,4624,SYSTEM,-,5,,
2025-10-18 15:23:28.860346+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:32:50.053391+00:00,4624,Daniele Monaco,127.0.0.1,2,,
2025-10-21 10:32:50.053402+00:00,4624,Daniele Monaco,127.0.0.1,2,,
2025-10-21 10:32:51.350748+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:32:52.076849+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:33:14.588270+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:33:20.625811+00:00,4624,Daniele Monaco,127.0.0.1,2,,
2025-10-21 10:33:20.625824+00:00,4624,Daniele Monaco,127.0.0.1,2,,
2025-10-21 10:33:20.658321+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:33:33.482418+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:33:45.900995+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:34:10.336571+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:37:51.218637+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:37:52.561237+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:37:57.653498+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:47.929285+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:49.270226+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:51.252605+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:51.258976+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:51.260281+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:51.263786+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:51.265026+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:51.271330+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:51.365597+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:51.494822+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.216227+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.218691+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.220322+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.223360+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.224649+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.229053+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.312273+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.428652+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.541784+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.601448+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.626417+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.629217+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.630527+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.633936+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.635294+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.642418+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:52.686918+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:38:57.901884+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:39:00.676546+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:39:01.160694+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:39:04.967304+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:39:04.971445+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:39:04.973185+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:39:04.977541+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:39:04.979315+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:39:04.987247+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:39:05.070826+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:39:05.168535+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:39:15.418840+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:44:18.342600+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:45:32.619390+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:46:00.500196+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:47:50.592192+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:47:51.395611+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:47:56.862522+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:48:26.464987+00:00,4624,SYSTEM,-,5,,
2025-10-21 10:48:53.059135+00:00,4624,SYSTEM,-,5,,
